,price,bedrooms,bathrooms,view,condition,grade,lat,long,basement,floors_1.5,floors_2.0,floors_2.5,floors_3.0,floors_3.5
0,221900.0,3,1.0,0.0,3,7,47.5112,-122.257,0,0,0,0,0,0
1,538000.0,3,2.25,0.0,3,7,47.721,-122.319,1,0,1,0,0,0
2,180000.0,2,1.0,0.0,3,6,47.7379,-122.233,0,0,0,0,0,0
3,604000.0,4,3.0,0.0,5,7,47.5208,-122.393,1,0,0,0,0,0
4,510000.0,3,2.0,0.0,3,8,47.6168,-122.045,0,0,0,0,0,0
6,257500.0,3,2.25,0.0,3,7,47.3097,-122.327,0,0,1,0,0,0
7,229500.0,3,1.0,0.0,3,7,47.5123,-122.337,1,0,0,0,0,0
8,323000.0,3,2.5,0.0,3,7,47.3684,-122.031,0,0,1,0,0,0
9,662500.0,3,2.5,0.0,3,8,47.6007,-122.145,1,0,0,0,0,0
10,468000.0,2,1.0,0.0,4,7,47.69,-122.292,1,0,0,0,0,0
11,310000.0,3,1.0,0.0,4,7,47.7558,-122.229,0,1,0,0,0,0
12,400000.0,3,1.75,0.0,4,7,47.6127,-122.045,0,0,0,0,0,0
13,530000.0,5,2.0,0.0,3,7,47.67,-122.394,0,1,0,0,0,0
14,650000.0,4,3.0,3.0,3,9,47.5714,-122.375,1,0,1,0,0,0
15,395000.0,3,2.0,0.0,3,7,47.7277,-121.962,0,0,1,0,0,0
16,485000.0,4,1.0,0.0,4,7,47.6648,-122.343,0,1,0,0,0,0
17,189000.0,2,1.0,0.0,4,7,47.3089,-122.21,0,0,0,0,0,0
18,230000.0,3,1.0,0.0,4,7,47.3343,-122.306,0,0,0,0,0,0
19,385000.0,4,1.75,0.0,4,7,47.7025,-122.341,1,0,0,0,0,0
21,285000.0,5,2.5,0.0,3,8,47.3266,-122.169,0,0,1,0,0,0
22,252700.0,2,1.5,0.0,3,7,47.3533,-122.166,0,0,0,0,0,0
23,329000.0,3,2.25,0.0,4,8,47.3739,-122.172,0,0,1,0,0,0
24,233000.0,3,2.0,0.0,5,6,47.3048,-122.218,0,1,0,0,0,0
25,937000.0,3,1.75,0.0,3,8,47.6386,-122.36,1,0,1,0,0,0
26,667000.0,3,1.0,0.0,5,8,47.6221,-122.314,0,1,0,0,0,0
27,438000.0,3,1.75,0.0,3,7,47.695,-122.304,1,0,0,0,0,0
28,719000.0,4,2.5,0.0,3,8,47.7073,-122.11,0,0,1,0,0,0
29,580500.0,3,2.5,0.0,3,8,47.5391,-122.07,0,0,1,0,0,0
30,280000.0,2,1.5,0.0,3,7,47.7274,-122.357,0,0,0,0,1,0
31,687500.0,4,1.75,0.0,4,7,47.6823,-122.368,1,1,0,0,0,0
32,535000.0,3,1.0,0.0,4,8,47.6889,-122.375,0,1,0,0,0,0
33,322500.0,4,2.75,0.0,3,7,47.4276,-122.157,1,0,0,0,0,0
34,696000.0,3,2.5,0.0,3,8,47.6827,-122.31,1,1,0,0,0,0
35,550000.0,4,1.0,0.0,1,5,47.6621,-122.132,1,0,0,0,0,0
36,640000.0,4,2.0,0.0,4,8,47.6702,-122.362,0,0,1,0,0,0
37,240000.0,4,1.0,0.0,2,7,47.3341,-122.282,1,0,0,0,0,0
38,605000.0,4,2.5,0.0,3,8,47.5301,-122.18,0,0,1,0,0,0
39,625000.0,4,2.5,0.0,3,9,47.6145,-122.027,0,0,1,0,0,0
40,775000.0,4,2.25,0.0,3,8,47.445,-122.347,1,0,0,0,0,0
41,861990.0,5,2.75,0.0,3,9,47.6848,-122.016,0,0,1,0,0,0
42,685000.0,3,1.0,0.0,3,7,47.6413,-122.364,0,0,1,0,0,0
